ballotpedia_id,Image,song link,Title,Artist,last_name,first_name,birthday,wikipedia_id,middle_name,suffix,nickname,full_name,gender,type,state,district,senate_class,party,url,address,phone,contact_form,rss_url,twitter,twitter_id,facebook,youtube,youtube_id,mastodon,bioguide_id,thomas_id,opensecrets_id,lis_id,fec_ids,cspan_id,govtrack_id,votesmart_id,washington_post_id,icpsr_id
Chuck Grassley,Chuck Grassley.jpeg,https://open.spotify.com/track/4AfMOeHaHKBJ5xYZEmzIU9?si=cb8bc840a03046ba,Besame Mucho,Jimmy Dorsey,Grassley,Charles,1933-09-17,Chuck Grassley,E.,,Chuck,Chuck Grassley,M,sen,IA,,3,Republican,https://www.grassley.senate.gov,135 Hart Senate Office Building Washington DC 20510,202-224-3744,https://www.grassley.senate.gov/contact,http://grassley.senate.gov/customcf/rss_feed.cfm,ChuckGrassley,10615232,grassley,senchuckgrassley,UCiCPRkcLMInpDeOqGkMTt4w,,G000386,457,N00001758,S153,S0IA00028,1167,300048,53293,,14226
Angus King,Angus King.jpeg,https://open.spotify.com/track/6LvSEYfJLacI2SW9dQsIAS?si=1507406f7ed348a0,Bésame Mucho (Kiss Me Much),Jimmy Dorsey and His Orchestra,King,Angus,1944-03-31,Angus King,S.,Jr.,,"Angus S. King, Jr.",M,sen,ME,,1,Independent,https://www.king.senate.gov,133 Hart Senate Office Building Washington DC 20510,202-224-5344,https://www.king.senate.gov/contact,http://www.king.senate.gov/rss/feeds/?type=all,SenAngusKing,1068481578,SenatorAngusSKingJr,SenatorAngusKing,UCpp6lGvrmt0XU_lnD4Ak0gA,,K000383,2185,N00034580,S363,S2ME00109,37413,412545,22381,,41300
Mitch McConnell,Mitch McConnell.jpeg,https://open.spotify.com/track/0VbYwcOK8ccCytSyiJMz6h?si=5fba05770438478c,Blues in the Night,Woody Herman,McConnell,Mitch,1942-02-20,Mitch McConnell,,,,Mitch McConnell,M,sen,KY,,2,Republican,https://www.mcconnell.senate.gov,317 Russell Senate Office Building Washington DC 20510,202-224-2541,https://www.mcconnell.senate.gov/public/index.cfm?p=contact,http://www.mcconnell.senate.gov/public/?a=rss.feed,McConnellPress,339822881,mitchmcconnell,,,,M000355,1395,N00003389,S174,S2KY00012,2351,300072,53298,,14921
Patty Murray,Patty Murray.jpeg,https://open.spotify.com/track/1fhLgOJgIIZEsWWffk8ljs?si=8235671cd95744dc,Goodnight Irene,Gordon Jenkins,Murray,Patty,1950-10-11,Patty Murray,,,,Patty Murray,F,sen,WA,,3,Democrat,https://www.murray.senate.gov,154 Russell Senate Office Building Washington DC 20510,202-224-2621,https://www.murray.senate.gov/write-to-patty/,http://www.murray.senate.gov/public/?a=rss.feed,PattyMurray,293131808,,SenatorPattyMurray,UCb8jq3TvQ3AzKsexhWfFLoA,,M001111,1409,N00007876,S229,S2WA00189,25277,300076,53358,,49308
Bernie Sanders,Bernie Sanders.jpeg,https://open.spotify.com/track/6ljXMbuee1M7DgXVzg7CT8?si=24a4b1fdebb14d17,Green Eyes,Jimmy Dorsey,Sanders,Bernard,1941-09-08,Bernie Sanders,,,Bernie,Bernard Sanders,M,sen,VT,,1,Independent,https://www.sanders.senate.gov,332 Dirksen Senate Office Building Washington DC 20510,202-224-5141,https://www.sanders.senate.gov/contact/,http://www.sanders.senate.gov/rss/,SenSanders,29442313,senatorsanders,senatorsanders,UCD_DaKNac0Ta-2PeHuoQ1uA,,S000033,1010,N00000528,S313,"H8VT01016,S4VT00033",994,400357,27110,,29147
Chuck Schumer,Chuck Schumer.jpeg,https://open.spotify.com/track/7hHOmImd35ZdKovBNSQXk8?si=b96f88c6e386478d,Harbor Lights,Swing & Sway With Sammy Kaye,Schumer,Charles,1950-11-23,Chuck Schumer,E.,,Chuck,Charles E. Schumer,M,sen,NY,,3,Democrat,https://www.schumer.senate.gov,322 Hart Senate Office Building Washington DC 20510,202-224-6542,https://www.schumer.senate.gov/contact/email-chuck,,SenSchumer,17494010,senschumer,SenatorSchumer,UC-ABttxh8uQv_10qmwGaidw,,S000148,1036,N00001093,S270,"S8NY00082,H0NY16010",5929,300087,26976,,14858
Dick Durbin,Dick Durbin.jpeg,https://open.spotify.com/track/4c3KRQYsfTERL0o9nbvmKG?si=8f0e142512b04816,I'll Walk Alone,Dinah Shore,Durbin,Richard,1944-11-21,Dick Durbin,J.,,,Richard J. Durbin,M,sen,IL,,2,Democrat,https://www.durbin.senate.gov,711 Hart Senate Office Building Washington DC 20510,202-224-2152,https://www.durbin.senate.gov/contact/,http://durbin.senate.gov/public/index.cfm/rss/feed,SenatorDurbin,247334603,SenatorDurbin,SenatorDurbin,UCkbixlNCxcKAffEhe3X5-lw,,D000563,326,N00004981,S253,"S6IL00151,H2IL20026",6741,300038,26847,,15021
Jim Risch,Jim Risch.jpeg,https://open.spotify.com/track/4LQRgExNuf7RYGs4sPELbP?si=d1823ac209df4edb,I've Heard That Song Before,Harry James,Risch,James,1943-05-03,Jim Risch,E.,,,James E. Risch,M,sen,ID,,2,Republican,https://www.risch.senate.gov,483 Russell Senate Office Building Washington DC 20510,202-224-2752,https://www.risch.senate.gov/public/index.cfm?p=Email,,SenatorRisch,1096059529,senatorjimrisch,SenatorJamesRisch,UCncKW8xyT5UbPNO27YuQnBA,,R000584,1896,N00029441,S323,S8ID00092,1020034,412322,2919,,40902
Debbie Stabenow,Debbie Stabenow.jpeg,https://open.spotify.com/track/4maf2aAHiwCxwdbPhbiIHm?si=7250e2659b6c4424,If I Knew You Were Comin' I'd Have Baked a Cake,Eileen Barton,Stabenow,Debbie,1950-04-29,Debbie Stabenow,Ann,,,Debbie Stabenow,F,sen,MI,,1,Democrat,https://www.stabenow.senate.gov,731 Hart Senate Office Building Washington DC 20510,202-224-4822,https://www.stabenow.senate.gov/contact,http://stabenow.senate.gov/rss/?p=news,SenStabenow,76456274,SenatorStabenow,senatorstabenow,UCFoDKCvxSwCUfDv-4Eg4K5A,,S000770,1531,N00004118,S284,"S8MI00281,H6MI08163",45451,300093,515,,29732
Richard Blumenthal,Richard Blumenthal.jpeg,https://open.spotify.com/track/75Sx3XuVfvyOL9k02ylrA0?si=149091ceb1c64eb5,"Let It Snow! Let It Snow! Let It Snow!""",Vaughn Monroe,Blumenthal,Richard,1946-02-13,Richard Blumenthal,,,,Richard Blumenthal,M,sen,CT,,3,Democrat,https://www.blumenthal.senate.gov,706 Hart Senate Office Building Washington DC 20510,202-224-2823,https://www.blumenthal.senate.gov/contact/,http://www.blumenthal.senate.gov/rss/feeds/?type=all,SenBlumenthal,278124059,SenBlumenthal,SenatorBlumenthal,UCHH-fn3_LVt0Q4od56rOi5g,,B001277,2076,N00031685,S341,S0CT00177,21799,412490,1568,,41101
Ben Cardin,Ben Cardin.jpeg,https://open.spotify.com/track/4uvKlL6oRnL38fD3RZotVz?si=11a878d2045e4058,"Sunday, Monday Or Always",Bing Crosby,Cardin,Benjamin,1943-10-05,Ben Cardin,L.,,,Benjamin L. Cardin,M,sen,MD,,1,Democrat,https://www.cardin.senate.gov,509 Hart Senate Office Building Washington DC 20510,202-224-4524,https://www.cardin.senate.gov/contact/,http://www.cardin.senate.gov/rss/feeds/?type=all,SenatorCardin,109071031,senatorbencardin,senatorcardin,UCiQaJnMzlfzzG3VESgyZChA,,C000141,174,N00001955,S308,"H6MD03177,S6MD03177",4004,400064,26888,,15408
John Boozman,John Boozman.jpeg,https://open.spotify.com/track/4kCb5K4lyspz6G8cmW7saK?si=322b1cba68aa42d1,The Thing,Phil Harris,Boozman,John,1950-12-10,John Boozman,,,,John Boozman,M,sen,AR,,3,Republican,https://www.boozman.senate.gov/public,555 Dirksen Senate Office Building Washington DC 20510,202-224-4843,https://www.boozman.senate.gov/public/index.cfm/contact,http://www.boozman.senate.gov/public/index.cfm/rss/feed,JohnBoozman,5558312,JohnBoozman,BoozmanPressOffice,UC9vWHKL5OfIYh6kIV0rF2yw,,B001236,1687,N00013873,S343,"H2AR03176,S0AR00150",92069,400040,27958,,20101
