song link,Title,Artist,birthday,last_name,first_name,image_slug,image_format,image_count
https://open.spotify.com/track/4AfMOeHaHKBJ5xYZEmzIU9?si=cb8bc840a03046ba,Besame Mucho,Jimmy Dorsey,1933-09-17,Grassley,Charles,grassley_charles,jpeg,1
https://open.spotify.com/track/6LvSEYfJLacI2SW9dQsIAS?si=1507406f7ed348a0,Bésame Mucho (Kiss Me Much),Jimmy Dorsey and His Orchestra,1944-03-31,King,Angus,king_angus,jpeg,1
https://open.spotify.com/track/0VbYwcOK8ccCytSyiJMz6h?si=5fba05770438478c,Blues in the Night,Woody Herman,1942-02-20,McConnell,Mitch,mcconnell_mitch,jpeg,1
https://open.spotify.com/track/1fhLgOJgIIZEsWWffk8ljs?si=8235671cd95744dc,Goodnight Irene,Gordon Jenkins,1950-10-11,Murray,Patty,murray_patty,jpeg,1
https://open.spotify.com/track/6ljXMbuee1M7DgXVzg7CT8?si=24a4b1fdebb14d17,Green Eyes,Jimmy Dorsey,1941-09-08,Sanders,Bernard,sanders_bernard,jpeg,1
https://open.spotify.com/track/7hHOmImd35ZdKovBNSQXk8?si=b96f88c6e386478d,Harbor Lights,Swing & Sway With Sammy Kaye,1950-11-23,Schumer,Charles,schumer_charles,jpeg,1
https://open.spotify.com/track/4c3KRQYsfTERL0o9nbvmKG?si=8f0e142512b04816,I'll Walk Alone,Dinah Shore,1944-11-21,Durbin,Richard,durbin_richard,jpeg,1
https://open.spotify.com/track/4LQRgExNuf7RYGs4sPELbP?si=d1823ac209df4edb,I've Heard That Song Before,Harry James,1943-05-03,Risch,James,risch_james,jpeg,1
https://open.spotify.com/track/4maf2aAHiwCxwdbPhbiIHm?si=7250e2659b6c4424,If I Knew You Were Comin' I'd Have Baked a Cake,Eileen Barton,1950-04-29,Stabenow,Debbie,stabenow_debbie,jpeg,1
https://open.spotify.com/track/75Sx3XuVfvyOL9k02ylrA0?si=149091ceb1c64eb5,"Let It Snow! Let It Snow! Let It Snow!""",Vaughn Monroe,1946-02-13,Blumenthal,Richard,blumenthal_richard,jpeg,1
https://open.spotify.com/track/4uvKlL6oRnL38fD3RZotVz?si=11a878d2045e4058,"Sunday, Monday Or Always",Bing Crosby,1943-10-05,Cardin,Benjamin,cardin_benjamin,jpeg,1
https://open.spotify.com/track/4kCb5K4lyspz6G8cmW7saK?si=322b1cba68aa42d1,The Thing,Phil Harris,1950-12-10,Boozman,John,boozman_john,jpeg,1
https://open.spotify.com/track/6doXi6MzsJzr7t9wUljqeP?si=97a43be64d6d4a68,Prisoners of Love,Perry Como,1946-07-11,Markey,Edward,markey_edward,png,1
https://open.spotify.com/track/3gAUzbcHBs9f4oGg82YHXv?si=be84ba60ba474f74,The Old Lamp-Lighter,Sammy kaye,1947-01-23,Carper,Thomas,carper_thomas,png,1
https://open.spotify.com/track/3gAUzbcHBs9f4oGg82YHXv?si=be84ba60ba474f74,The Old Lamp-Lighter,Sammy kaye,1947-01-28,Shaheen,Jeanne,shaheen_jeanne,png,1
https://open.spotify.com/track/2oGCMCYEGI6BB9ruLT4caq?si=e79f1c7d6bcb4b8c,"Managua, Nicaragua",Freddy Martin,1947-03-12,Romney,Mitt,romney_mitt,png,1
https://open.spotify.com/track/5B9QSYT55JgOcKGY5lOANz?si=cdda42a5e53141f2,Heartaches,Ted Weems,1947-05-02,Welch,Peter,welch_peter,png,1
https://open.spotify.com/track/05HBDnASISMJN46VxzDafK?si=9b8c3617e01c48bb,Smoke! Smoke! Smoke! (That Cigarette),Tex Williams,1947-08-24,Manchin,Joe,manchin_joe,png,1
https://open.spotify.com/track/4Mj3c2VOqJWFmnFPThuclu?si=aa484a5119f74163,Ballerina,Vaugn Monroe,1947-11-03,Hirono,Mazie,hirono_mazie,png,1
https://open.spotify.com/track/6llTPEB5phgi7Pf1yx3fzJ?si=c830ee8dc3444d7e,Riders in the Sky (A Cowboy Legend),Vaugn Monroe,1949-05-03,Wyden,Ron,wyden_ron,png,1
https://open.spotify.com/track/6llTPEB5phgi7Pf1yx3fzJ?si=c830ee8dc3444d7e,Riders in the Sky (A Cowboy Legend),Vaugn Monroe,1949-06-22,Warren,Elizabeth,warren_elizabeth,png,1
https://open.spotify.com/track/6NnX03shOgoVe2v031qzjC?si=8858cde14c1d4cfc,That Lucky Old Sun,Frankie Lane,1949-11-12,Reed,John,reed_john,png,1
https://open.spotify.com/track/0BHroBUvBAp561BYqC9LRK?si=3de95d8102694b5a,The Tennessee Waltz,Patti Page,1951-03-01,Fischer,Deb,fischer_deb,png,1
https://open.spotify.com/track/0onHzLoj8yQbjbHtJzwjBx?si=d09044e7dd334641,How High The Moon,Les Paul and Mary Ford,1951-05-20,Crapo,Michael,crapo_michael,png,1
https://open.spotify.com/track/0zII0Soax7wbm3Avw7iVAd?si=e14708c1190a4f45,Too Young,Nat King Cole,1951-07-05,Wicker,Roger,wicker_roger,png,1
https://open.spotify.com/track/04s7uUtOcVhMzIglxgrE8a?si=0ca43a19d51a49aa,"Cold, Cold Heart",Tony Bennett,1951-11-21,Kennedy,John,kennedy_john,png,1
https://open.spotify.com/track/4wnFpRgQu2gLN8d76dYOGr?si=3d28d23eceb24698,Cry,Johnnie Ray and The Four Lads,1952-02-02,Cornyn,John,cornyn_john,png,1
https://open.spotify.com/track/4wnFpRgQu2gLN8d76dYOGr?si=3d28d23eceb24698,Cry,Johnnie Ray and The Four Lads,1952-02-07,Hickenlooper,John,hickenlooper_john,png,1
https://open.spotify.com/track/6ecG5Am0TRxn0uwZBQHA3L?si=7e6c052a9ca0425d,Blue Tango,Leroy Anderson,1952-06-06,Blackburn,Marsha,blackburn_marsha,png,1
https://open.spotify.com/track/3rIhZKroSQQjNcgGQsdaJF?si=78ae0630a94140d7,Auf Wiederseh'n Sweetheart,Vera Lynn,1952-07-21,Barrasso,John,barrasso_john,png,1
https://open.spotify.com/track/4cS2Ya30FLHqNb3hwbtjrJ?si=5b4978b7bca146cf,I Went To Your Wedding,Patti Page,1952-11-09,Brown,Sherrod,brown_sherrod,png,1
https://open.spotify.com/track/0y6k5EvGBQqzP7BjMsEtNX?si=a68f952806b04052,Why Don't You Believe Me,Joni James,1952-12-01,Scott,Rick,scott_rick,png,1
https://open.spotify.com/track/0y6k5EvGBQqzP7BjMsEtNX?si=a68f952806b04052,Why Don't You Believe Me,Joni James,1952-12-07,Collins,Susan,collins_susan,png,1
https://open.spotify.com/track/4BH8EuPAxeFAh1rSWtnGdD?si=dd68d65939a249b4,Rags to Riches,Tony Bennett,1953-11-26,Capito,Shelley,capito_shelley,png,1
https://open.spotify.com/track/4BH8EuPAxeFAh1rSWtnGdD?si=dd68d65939a249b4,Rags to Riches,Tony Bennett,1954-01-01,Menendez,Robert,menendez_robert,png,1
